Age,ProductName,ProductName_Code,OrderNum
20,腾讯大王卡回归,3,1
56,大王超级会员卡,2,6
57,腾讯亲情卡,6,2
26,腾讯大王卡回归,3,2
63,腾讯地王卡,4,3
83,腾讯大王卡,1,1
59,天王卡,5,2
60,天王卡,5,2
18,腾讯亲情卡,6,121
49,腾讯地王卡,4,15
18,腾讯大王卡回归,3,3
48,腾讯地王卡,4,22
56,腾讯亲情卡,6,8
46,腾讯地王卡,4,20
53,腾讯地王卡,4,5
80,大王超级会员卡,2,1
14,腾讯地王卡,4,14
54,天王卡,5,6
74,腾讯大王卡,1,7
68,腾讯大王卡,1,12
67,天王卡,5,1
77,天王卡,5,1
78,腾讯大王卡,1,1
69,腾讯地王卡,4,1
59,腾讯亲情卡,6,1
60,腾讯地王卡,4,3
65,腾讯地王卡,4,2
65,大王超级会员卡,2,3
16,腾讯大王卡回归,3,1
75,腾讯大王卡,1,2
83,腾讯亲情卡,6,3
58,天王卡,5,2
55,腾讯亲情卡,6,13
57,大王超级会员卡,2,3
64,腾讯地王卡,4,1
47,腾讯亲情卡,6,26
50,腾讯亲情卡,6,16
73,腾讯大王卡,1,2
21,腾讯大王卡回归,3,1
13,腾讯地王卡,4,2
25,腾讯大王卡回归,3,1
86,腾讯地王卡,4,1
59,大王超级会员卡,2,1
76,大王超级会员卡,2,1
78,大王超级会员卡,2,1
32,腾讯大王卡回归,3,1
71,腾讯大王卡,1,5
7,腾讯大王卡,1,3
23,腾讯大王卡回归,3,2
68,大王超级会员卡,2,1
74,腾讯地王卡,4,2
15,腾讯亲情卡,6,23
80,腾讯大王卡,1,1
56,天王卡,5,3
79,腾讯大王卡,1,3
63,腾讯亲情卡,6,3
58,腾讯亲情卡,6,1
77,腾讯大王卡,1,2
76,腾讯大王卡,1,2
72,腾讯大王卡,1,1
60,腾讯亲情卡,6,2
54,腾讯亲情卡,6,5
63,大王超级会员卡,2,2
14,腾讯亲情卡,6,6
53,腾讯亲情卡,6,4
62,腾讯地王卡,4,1
11,天王卡,5,1
88,天王卡,5,1
13,腾讯亲情卡,6,1
73,大王超级会员卡,2,1
33,腾讯大王卡回归,3,1
77,大王超级会员卡,2,1
12,天王卡,5,1
67,大王超级会员卡,2,1
91,腾讯大王卡,1,1
82,腾讯大王卡,1,1
66,腾讯地王卡,4,1
