5,M,1994,2018005,130423,33,190
1,F,2001,2018004,130428,33,190
1,M,1997,2018005,152221,33,194
1,M,1990,2018006,220282,33,190
1,M,1996,2018005,222404,33,190
1,F,1995,2018005,230107,33,190
1,F,1999,2018004,230182,33,190
4,M,1992,2018006,230904,33,190
1,M,1994,2018005,320305,33,190
1,M,2003,2018004,321088,33,190
1,M,1994,2018005,321323,33,190
6,M,1980,2018008,330103,33,190
1,M,2003,2018004,330105,33,190
1,M,2001,2018004,330105,33,190
1,F,1989,2018006,330106,33,190
1,M,2005,2018003,330108,33,190
1,F,2005,2018003,330122,33,190
1,M,2004,2018003,330122,33,190
1,M,2003,2018004,330122,33,190
2,M,2003,2018004,330122,33,190
1,M,2001,2018004,330122,33,190
1,M,1997,2018005,330122,33,190
5,M,1992,2018006,330122,33,190
2,M,2003,2018004,330127,33,190
1,M,2002,2018004,330127,33,190
1,M,2002,2018004,330127,33,190
1,F,2003,2018004,330182,33,195
4,M,2002,2018004,330182,33,190
1,M,2001,2018004,330182,33,190
1,F,2005,2018003,330183,33,190
1,F,2005,2018003,330183,33,190
2,M,2002,2018004,330183,33,190
1,M,2001,2018004,330183,33,190
1,M,1988,2018007,330183,33,190
2,F,2003,2018004,330185,33,190
1,F,2003,2018004,330185,33,190
1,F,2002,2018004,330185,33,190
1,M,1994,2018005,330327,33,190
1,M,1994,2018005,330327,33,190
1,M,1989,2018006,330327,33,190
2,M,1998,2018005,330328,33,190
6,M,1988,2018007,330382,33,190
2,F,2003,2018004,330523,33,194
2,M,2001,2018004,330723,33,190
1,M,2005,2018003,330726,33,190
2,M,2003,2018004,330781,33,190
1,M,1993,2018006,330822,33,190
2,F,2001,2018004,330824,33,190
2,M,2000,2018004,330824,33,190
2,M,2002,2018004,330825,33,197
1,M,1994,2018005,330902,33,190
1,M,2006,2018003,331022,33,190
5,F,1999,2018004,331022,33,199
6,F,2002,2018004,331023,33,191
1,M,2000,2018004,331082,33,199
5,M,1969,2018010,340321,33,190
6,M,1989,2018006,340322,33,190
1,M,1980,2018008,340322,33,190
1,M,1967,2018011,340323,33,190
1,M,2004,2018003,340621,33,190
1,M,1988,2018007,340825,33,190
1,F,1972,2018010,340825,33,190
2,M,2001,2018004,341021,33,190
1,M,1999,2018004,341021,33,190
2,M,1994,2018005,341126,33,190
1,F,1995,2018005,341181,33,190
1,M,1991,2018006,341204,33,190
2,M,1994,2018005,341221,33,190
6,M,1991,2018006,341221,33,190
4,F,1989,2018006,341221,33,190
2,M,2002,2018004,341226,33,191
1,M,1992,2018006,341282,33,190
2,M,1995,2018005,341621,33,190
1,M,1998,2018005,350425,33,190
1,M,1997,2018005,350582,33,190
2,M,2003,2018004,360122,33,190
1,F,1997,2018005,360123,33,190
1,M,1999,2018004,360124,33,190
2,M,2008,2018003,360202,33,190
1,M,1998,2018005,360281,33,190
1,M,1996,2018005,360421,33,190
1,F,2001,2018004,360428,33,190
1,F,1981,2018008,360428,33,190
1,M,2001,2018004,361121,33,190
1,F,1996,2018005,370702,33,190
1,M,1989,2018006,370883,33,190
1,M,1990,2018006,370982,33,190
2,M,2002,2018004,371324,33,190
2,M,2003,2018004,371725,33,190
5,M,1996,2018005,410302,33,190
6,M,1997,2018005,410326,33,190
1,M,1990,2018006,410327,33,190
5,M,1987,2018007,410421,33,190
1,F,1986,2018007,410423,33,190
6,M,1986,2018007,410425,33,190
1,M,1992,2018006,410482,33,190
6,M,1988,2018007,410482,33,190
1,M,1973,2018010,410482,33,190
5,M,2000,2018004,410622,33,190
1,M,1981,2018008,411303,33,190
1,F,2001,2018004,411323,33,190
1,F,1977,2018009,411329,33,190
1,M,2005,2018003,411381,33,190
1,M,2000,2018004,411381,33,190
1,M,1997,2018005,411381,33,190
2,F,1994,2018005,411381,33,190
2,M,1989,2018006,411381,33,190
1,F,1987,2018007,411381,33,190
2,F,1998,2018005,411423,33,190
1,F,1996,2018005,411424,33,190
1,F,1992,2018006,411424,33,190
1,M,1963,2018012,411425,33,190
2,F,1995,2018005,411481,33,190
1,F,1998,2018005,411524,33,190
1,F,1996,2018005,411524,33,190
2,M,1995,2018005,411524,33,190
1,M,1995,2018005,411524,33,190
1,M,1995,2018005,411524,33,190
1,M,1991,2018006,411524,33,190
1,M,2003,2018004,411525,33,190
2,M,2000,2018004,411527,33,190
1,F,1995,2018005,411527,33,190
1,F,1994,2018005,411527,33,190
1,F,1991,2018006,411527,33,190
1,M,1992,2018006,411528,33,190
4,M,1986,2018007,411528,33,190
2,M,1994,2018005,411627,33,190
1,F,1980,2018008,420222,33,190
1,M,1988,2018007,420527,33,190
1,M,2003,2018004,420682,33,190
1,F,1996,2018005,420921,33,190
1,M,1964,2018011,421022,33,190
1,M,1989,2018006,421123,33,190
2,F,2002,2018004,421127,33,191
1,F,1987,2018007,421182,33,190
1,M,1984,2018007,421281,33,190
1,M,1994,2018005,421381,33,190
1,F,1987,2018007,422823,33,190
1,F,1963,2018012,429006,33,190
6,M,1994,2018005,430124,33,190
6,M,1986,2018007,430426,33,481
1,M,1997,2018005,430523,33,195
1,M,1997,2018005,431023,33,190
1,M,2006,2018003,431124,33,190
2,M,1992,2018006,431223,33,190
1,M,2005,2018003,431225,33,190
5,F,2005,2018003,431225,33,190
1,F,1997,2018005,431230,33,190
1,M,1995,2018005,433123,33,190
2,M,1996,2018005,440981,33,191
1,F,1989,2018006,450881,33,190
1,F,1997,2018005,500233,33,190
1,F,1988,2018007,500235,33,190
2,M,1999,2018004,500236,33,190
1,M,1991,2018006,510321,33,190
1,M,1996,2018005,510821,33,190
1,M,1980,2018008,511002,33,190
1,M,1988,2018007,511321,33,190
1,M,2003,2018004,511725,33,190
1,M,1999,2018004,513434,33,190
1,M,2003,2018004,513436,33,190
2,M,2000,2018004,520221,33,195
1,M,1999,2018004,520330,33,190
2,M,2002,2018004,520382,33,194
1,M,1998,2018005,522326,33,190
1,M,2001,2018004,522425,33,190
1,F,1996,2018005,522426,33,190
2,M,2000,2018004,522427,33,190
6,F,1997,2018005,522427,33,190
5,F,1980,2018008,522624,33,190
