1,M,1998,2018005,360123
2,M,1991,2018006,360222
1,M,1985,2018007,360421
1,M,2001,2018004,360428
1,M,1999,2018004,360781
2,M,2002,2018004,361027
6,M,1990,2018006,370481
1,M,1994,2018005,410324
1,M,1986,2018007,410421
6,M,1993,2018006,410422
1,M,1996,2018005,410728
1,M,1994,2018005,411024
1,M,2001,2018004,411082
1,M,1971,2018010,411123
1,M,2002,2018004,411322
1,M,1988,2018007,411322
1,M,1999,2018004,411323
1,M,2004,2018003,411324
1,M,1999,2018004,411325
1,M,1991,2018006,411325
2,M,1996,2018005,411329
1,M,1990,2018006,411381
1,M,1987,2018007,411403
1,M,2004,2018003,411421
1,M,1999,2018004,411522
1,M,1993,2018006,411524
1,M,1988,2018007,411524
5,M,1988,2018007,411524
1,M,1980,2018008,420103
1,M,1994,2018005,420222
1,M,1993,2018006,422822
1,M,1981,2018008,430525
1,M,1994,2018005,431223
1,M,1985,2018007,431226
1,M,1998,2018005,445281
1,M,2002,2018004,500240
1,M,1987,2018007,510521
5,M,2001,2018004,510726
1,M,1990,2018006,510802
2,M,1999,2018004,511527
5,M,1993,2018006,511602
2,M,1997,2018005,520203
2,M,2000,2018004,520221
4,M,1994,2018005,522427
2,M,1993,2018006,522427
5,M,1980,2018008,522427
1,M,1975,2018009,522625
1,M,1999,2018004,522628
1,M,2000,2018004,522731
2,M,1999,2018004,530322
1,M,1998,2018005,530621
1,M,1999,2018004,530627
1,M,1993,2018006,532627
6,M,1989,2018006,532627
2,M,1989,2018006,620521
2,M,2001,2018004,620524
1,M,1996,2018005,622624
1,M,2001,2018004,622627
1,M,1992,2018006,622921
1,M,1994,2018005,650108
1,M,2005,2018003,370911
2,M,2002,2018004,362326
1,M,2002,2018004,330124
1,M,2002,2018004,412728
1,M,2002,2018004,412702
1,M,2002,2018004,330184
1,M,2001,2018004,339005
2,M,2001,2018004,412825
1,M,1999,2018004,532124
5,M,1999,2018004,362228
2,M,1999,2018004,342201
2,M,1999,2018004,412827
1,M,1998,2018005,339005
1,M,1998,2018005,532101
1,M,1997,2018005,622722
1,M,1997,2018005,412702
1,M,1997,2018005,232332
1,M,1997,2018005,532129
1,M,1997,2018005,412702
1,M,1996,2018005,412702
1,M,1995,2018005,532122
1,M,1995,2018005,412721
1,M,1995,2018005,500239
1,M,1995,2018005,362322
5,M,1995,2018005,412825
1,M,1994,2018005,622421
1,M,1994,2018005,533001
1,M,1994,2018005,372922
1,M,1993,2018006,362229
1,M,1993,2018006,362322
1,M,1993,2018006,362228
1,M,1993,2018006,332501
1,M,1993,2018006,362524
1,M,1992,2018006,413026
6,M,1991,2018006,362321
1,M,1990,2018006,362228
1,M,1990,2018006,522126
1,M,1990,2018006,339005
1,M,1990,2018006,412702
1,M,1990,2018006,362330
1,M,1989,2018006,332522
1,M,1988,2018007,330184
1,M,1988,2018007,420621
1,M,1988,2018007,412728
6,M,1983,2018008,332526
2,M,1982,2018008,512527
1,M,1980,2018008,342901
1,M,1979,2018008,532224
1,M,1979,2018008,412822
2,M,1977,2018009,422426
2,M,1977,2018009,360621
1,M,1975,2018009,412822
1,M,1974,2018009,412722
1,M,1973,2018010,362323
1,M,1970,2018010,320823
2,M,1969,2018010,342423
1,M,1968,2018011,330121
1,M,1967,2018011,412323
1,M,1966,2018011,412728
1,M,1965,2018011,512223
1,M,1957,2018013,422425
1,M,1988,2018007,130323
1,M,1979,2018008,130323
1,M,2002,2018004,130429
1,M,1991,2018006,220283
1,M,2004,2018003,230231
1,M,1996,2018005,231002
1,M,1993,2018006,320125
1,M,1994,2018005,320322
1,M,1982,2018008,320324
2,M,1997,2018005,320921
1,M,2002,2018004,330105
1,M,1991,2018006,330106
1,M,2004,2018003,330108
2,M,1998,2018005,330122
1,M,2001,2018004,330127
2,M,2000,2018004,330183
1,M,1996,2018005,330183
2,M,2005,2018003,330185
1,M,2002,2018004,330327
1,M,1994,2018005,330327
1,M,1995,2018005,330523
1,M,2003,2018004,330727
6,M,1994,2018005,330825
1,M,1985,2018007,331081
1,M,1993,2018006,340322
1,M,1971,2018010,340421
